Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1763871450,50,,Aggregated,23.400000,0.400000,72,100,140,150,330,660,820,870,890,890,890,774,16,72,145.70540168565682,2.478610724210739,887.3918689787388,10011.848837209302
1763871451,50,,Aggregated,23.800000,0.700000,72,100,140,150,330,660,820,870,890,890,890,800,17,72,143.7844019383192,2.478610724210739,887.3918689787388,9986.9225
1763871452,50,,Aggregated,23.500000,0.700000,72,100,140,150,320,660,810,870,890,890,890,819,17,72,143.03250925135555,2.478610724210739,887.3918689787388,10046.614163614164
1763871453,50,,Aggregated,23.500000,0.900000,72,100,140,150,310,660,810,870,890,890,890,839,18,72,141.80351745812345,2.478610724210739,887.3918689787388,10018.917759237187
1763871454,50,,Aggregated,23.800000,1.000000,72,100,140,150,310,650,810,870,890,890,890,866,18,72,140.31151278637023,2.478610724210739,887.3918689787388,10033.60739030023
1763871455,50,,Aggregated,23.500000,1.000000,73,100,140,150,300,650,810,870,890,890,890,886,18,73,139.50280351543265,2.478610724210739,887.3918689787388,10038.547404063205
1763871456,50,,Aggregated,22.800000,1.100000,73,100,140,150,300,650,810,870,890,890,890,910,19,73,138.09026916521591,2.478610724210739,887.3918689787388,10020.494505494506
1763871457,50,,Aggregated,23.300000,1.000000,73,100,140,150,300,650,810,870,890,890,890,937,21,73,136.5386065465409,2.478610724210739,887.3918689787388,10056.45144076841
1763871458,50,,Aggregated,22.900000,0.900000,73,100,140,140,290,650,810,870,890,890,890,960,24,73,135.06405220444626,2.478610724210739,887.3918689787388,10022.677083333334
1763871459,50,,Aggregated,23.100000,1.000000,73,100,140,140,180,640,810,870,890,890,890,986,24,73,133.96345275410775,2.478610724210739,887.3918689787388,10034.602434077078
1763871460,50,,Aggregated,23.400000,1.100000,74,100,140,140,180,570,810,870,890,890,890,1009,24,74,133.14456721939465,2.478610724210739,887.3918689787388,10067.899900891973
1763871461,50,,Aggregated,23.200000,1.100000,73,100,140,140,170,550,810,870,890,890,890,1027,24,73,132.32102159124153,2.478610724210739,887.3918689787388,10072.860759493671
1763871462,50,,Aggregated,23.900000,1.000000,74,100,140,140,180,550,800,870,890,890,890,1056,24,74,132.03496180093762,2.478610724210739,887.3918689787388,10103.395833333334
1763871463,50,,Aggregated,23.500000,0.800000,74,100,140,140,170,540,800,870,890,890,890,1080,26,74,131.1786005238968,2.478610724210739,887.3918689787388,10115.310185185184
1763871464,50,,Aggregated,22.800000,0.700000,75,100,140,140,180,470,800,870,890,890,890,1103,27,75,130.8146570576988,2.478610724210739,887.3918689787388,10126.571169537625
1763871465,50,,Aggregated,23.500000,0.700000,75,100,140,140,180,460,800,870,890,890,890,1129,28,75,130.1708504544411,2.478610724210739,887.3918689787388,10132.166519043401
1763871466,50,,Aggregated,24.100000,0.800000,75,100,140,150,180,460,800,870,890,890,890,1152,31,75,129.71494602324026,2.4704933166503906,887.3918689787388,10170.068576388889
1763871467,50,,Aggregated,23.900000,0.900000,75,100,140,150,180,450,800,870,890,890,890,1174,32,75,129.06127793038522,2.4704933166503906,887.3918689787388,10165.836456558773
1763871468,50,,Aggregated,24.200000,1.000000,76,100,140,150,170,420,800,870,890,890,890,1196,33,76,128.42548103461098,2.4704933166503906,887.3918689787388,10166.137123745819
1763871469,50,,Aggregated,24.000000,1.200000,76,100,140,150,170,400,790,860,890,890,890,1219,35,76,127.77190519171332,2.4704933166503906,887.3918689787388,10145.785069729287
1763871470,50,,Aggregated,23.700000,1.100000,76,100,140,150,180,370,790,860,890,890,890,1250,37,76,127.51733177900314,2.4704933166503906,887.3918689787388,10141.5576
1763871471,50,,Aggregated,23.700000,0.900000,76,100,140,150,180,370,790,860,890,890,890,1265,38,76,127.06961541366671,2.4704933166503906,887.3918689787388,10132.83557312253
1763871472,50,,Aggregated,23.400000,1.100000,76,100,140,150,170,360,790,860,890,890,890,1293,39,76,126.24247922732769,2.4704933166503906,887.3918689787388,10158.338747099768
1763871473,50,,Aggregated,24.000000,1.300000,76,100,140,140,170,360,790,820,890,890,890,1313,40,76,125.77082457904677,2.4704933166503906,887.3918689787388,10202.738766184311
1763871474,50,,Aggregated,23.600000,1.400000,76,100,140,140,170,360,790,820,890,890,890,1335,43,76,124.96187604321969,2.4704933166503906,887.3918689787388,10190.96404494382
1763871475,50,,Aggregated,23.900000,1.500000,76,100,130,140,170,350,790,820,890,890,890,1361,43,76,124.40287602913459,2.4704933166503906,887.3918689787388,10232.105069801617
1763871476,50,,Aggregated,23.300000,1.400000,76,100,130,140,160,350,790,820,890,890,890,1385,45,76,123.65528117018056,2.4704933166503906,887.3918689787388,10224.002166064982
1763871477,50,,Aggregated,22.900000,1.600000,76,100,130,140,170,350,690,820,890,890,890,1406,46,76,123.35477746588576,2.381272614002228,887.3918689787388,10216.21906116643
1763871478,50,,Aggregated,23.300000,1.500000,76,100,130,140,170,340,690,820,890,890,890,1429,48,76,122.66538802083345,2.381272614002228,887.3918689787388,10209.223932820154
1763871479,50,,Aggregated,23.200000,1.400000,76,100,130,140,160,340,680,820,890,890,890,1455,49,76,122.12828131219776,2.381272614002228,887.3918689787388,10229.603436426118
1763871480,50,,Aggregated,23.400000,1.400000,76,100,130,140,160,340,680,820,890,890,890,1473,51,76,121.63263042909469,2.381272614002228,887.3918689787388,10246.727766463
1763871481,50,,Aggregated,23.400000,1.500000,76,100,130,140,160,330,680,820,890,890,890,1497,51,76,121.62034437508287,2.381272614002228,887.3918689787388,10283.232464929859
1763871482,50,,Aggregated,23.300000,1.400000,76,100,130,140,160,330,680,820,890,890,890,1521,52,76,120.94295319760026,2.381272614002228,887.3918689787388,10287.25641025641
1763871483,50,,Aggregated,22.500000,1.400000,76,100,130,140,160,330,680,820,890,890,890,1548,53,76,120.66326034796792,2.381272614002228,887.3918689787388,10301.270025839793
1763871484,50,,Aggregated,23.500000,1.300000,76,100,130,140,160,330,680,820,890,890,890,1571,54,76,120.19271526857973,2.381272614002228,887.3918689787388,10329.781667727562
1763871485,50,,Aggregated,22.600000,1.300000,76,100,130,140,160,330,680,820,890,890,890,1592,56,76,119.83549049423642,2.381272614002228,887.3918689787388,10329.760050251256
1763871486,50,,Aggregated,23.500000,1.300000,75,100,130,140,160,330,670,810,890,890,890,1616,57,75,119.29608491194057,2.381272614002228,887.3918689787388,10317.719059405941
1763871487,50,,Aggregated,23.800000,1.100000,75,100,130,140,160,320,670,810,890,890,890,1638,57,75,118.90978324744437,2.381272614002228,887.3918689787388,10316.351648351649
1763871488,50,,Aggregated,22.900000,1.300000,75,100,130,140,160,310,670,810,890,890,890,1662,58,75,118.55827740849715,2.381272614002228,887.3918689787388,10347.23285198556
1763871489,50,,Aggregated,23.100000,1.200000,75,100,130,140,160,310,670,810,890,890,890,1687,59,75,118.047141214412,2.381272614002228,887.3918689787388,10369.364552459989
1763871490,50,,Aggregated,23.000000,1.100000,75,100,130,140,160,310,670,810,890,890,890,1716,60,75,117.48000647924788,2.381272614002228,887.3918689787388,10366.80944055944
1763871491,50,,Aggregated,23.100000,1.000000,75,100,130,140,160,310,670,810,890,890,890,1740,62,75,117.07252638050537,2.381272614002228,887.3918689787388,10371.949425287356
1763871492,50,,Aggregated,23.200000,1.000000,75,100,130,140,160,300,670,810,890,890,890,1766,62,75,116.83671699999277,2.381272614002228,887.3918689787388,10400.521517553794
1763871493,50,,Aggregated,24.100000,0.900000,75,100,130,140,160,300,670,810,890,890,890,1792,66,75,116.39272131183783,2.381272614002228,887.3918689787388,10417.672433035714
1763871494,50,,Aggregated,24.100000,1.100000,75,100,130,140,160,300,670,810,890,890,890,1813,67,75,116.05847434392965,2.381272614002228,887.3918689787388,10413.507446221733
1763871495,50,,Aggregated,24.500000,1.000000,75,100,130,140,160,300,670,810,890,890,890,1837,68,75,115.72764540739078,2.381272614002228,887.3918689787388,10436.35710397387
1763871496,50,,Aggregated,24.300000,1.300000,75,100,130,140,150,300,670,810,890,890,890,1858,68,75,115.36608395779223,2.381272614002228,887.3918689787388,10443.339612486545
1763871497,50,,Aggregated,24.000000,1.300000,75,100,130,140,160,300,670,810,890,890,890,1888,68,75,115.15233419654038,2.381272614002228,887.3918689787388,10474.655190677966
1763871498,50,,Aggregated,24.600000,1.200000,75,100,130,140,150,290,660,810,890,890,890,1907,70,75,114.82622808086728,2.381272614002228,887.3918689787388,10479.186680650237
1763871500,50,,Aggregated,24.100000,1.100000,75,100,130,140,150,290,660,810,890,890,890,1931,71,75,114.4238982633227,2.381272614002228,887.3918689787388,10483.944070429829
1763871501,50,,Aggregated,25.000000,1.100000,75,100,130,140,150,290,660,810,890,890,890,1953,72,75,114.13273648861977,2.381272614002228,887.3918689787388,10495.58678955453
1763871502,50,,Aggregated,24.500000,1.200000,75,100,130,140,150,250,660,810,890,890,890,1976,72,75,113.86237416589852,2.381272614002228,887.3918689787388,10506.05870445344
1763871503,50,,Aggregated,24.400000,1.200000,75,100,130,140,150,220,660,810,880,890,890,2001,73,75,113.64927877304794,2.381272614002228,887.3918689787388,10532.820089955023
1763871504,50,,Aggregated,23.700000,1.200000,75,100,130,140,150,220,660,810,880,890,890,2027,74,75,113.33968621767326,2.381272614002228,887.3918689787388,10534.90083867785
1763871505,50,,Aggregated,23.500000,1.100000,74,110,130,140,150,220,660,810,880,890,890,2047,76,74,113.11289513029584,2.381272614002228,887.3918689787388,10538.76599902296
1763871506,50,,Aggregated,23.500000,1.100000,74,110,130,140,150,210,660,810,880,890,890,2075,80,74,112.65953350138952,2.381272614002228,887.3918689787388,10533.029397590362
1763871507,50,,Aggregated,23.300000,0.900000,74,110,130,140,150,210,660,810,880,890,890,2093,80,74,112.52869258563996,2.381272614002228,887.3918689787388,10556.60248447205
1763871508,50,,Aggregated,23.300000,0.900000,74,110,130,140,150,210,660,800,880,890,890,2119,82,74,112.21129002085605,2.381272614002228,887.3918689787388,10565.98065125059
1763871509,50,,Aggregated,23.400000,1.200000,74,110,130,140,150,210,660,800,880,890,890,2146,83,74,111.90148112811113,2.3697204887866974,887.3918689787388,10563.598788443616
1763871510,50,,Aggregated,23.100000,1.400000,74,110,130,140,150,200,650,800,880,890,890,2170,84,74,111.51239160740155,2.34149768948555,887.3918689787388,10561.95069124424
