Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,cart:add,711,0,150.0,151.56291784134427,95.34778818488121,450.9516842663288,21672.554149085794,2.3738212904044786,0.0,150,160,170,170,180,190,210,230,450,450,450
POST,cart:checkout,355,355,3,3.2826149232790502,2.131778746843338,22.918857634067535,3909.0,1.1852412912708719,1.1852412912708719,3,3,4,4,4,5,5,5,23,23,23
GET,cart:view,1096,0,140.0,131.38367102080343,66.50739163160324,364.8408427834511,20543.080291970804,3.6592238175573963,0.0,140,140,150,150,160,180,210,230,360,360,360
GET,index,437,0,140.0,219.82958095331486,120.67661061882973,887.3918689787388,10576.615560640732,1.4590153360151297,0.0,140,150,160,160,650,800,870,880,890,890,890
GET,product,3824,0,65,68.55910754895079,56.29962310194969,367.89386719465256,8040.091004184101,12.76721886709807,0.0,65,67,68,69,74,83,100,120,350,370,370
POST,setCurrency,760,0,150.0,152.17314767896346,123.86665865778923,568.1750290095806,10588.873684210526,2.5374179756784865,0.0,150,150,150,150,160,190,210,250,570,570,570
,Aggregated,7183,355,70,101.18477136315732,2.131778746843338,887.3918689787388,11517.044410413477,23.981938578024433,1.1852412912708719,70,130,140,150,160,170,210,340,870,890,890
